url,local_path,status,alt,title,caption,mime,media_id
http://lotuspeak.org/wp-content/uploads/2025/07/chhimilhakhang.webp,images\2025\07\chhimilhakhang.webp,ok,,,,,
http://lotuspeak.org/wp-content/uploads/2025/07/gangtye.webp,images\2025\07\gangtye.webp,ok,,,,,
http://lotuspeak.org/wp-content/uploads/2025/07/phobjikha-valey.webp,images\2025\07\phobjikha-valey.webp,ok,,,,,
http://lotuspeak.org/wp-content/uploads/2026/02/meditation.jpeg,,failed,,,,,
https://lotuspeak.org/wp-content/uploads/2025/07/2.mp4,images\2025\07\2.mp4,ok,,2,https://lotuspeak.org/wp-content/uploads/2025/07/2.mp4,video/mp4,60
https://lotuspeak.org/wp-content/uploads/2025/07/Tamshing-Lhakhang.webp,images\2025\07\Tamshing-Lhakhang.webp,ok,Tamshing-Lhakhang,Tamshing-Lhakhang,,image/webp,3666
https://lotuspeak.org/wp-content/uploads/2025/07/alo.webp,images\2025\07\alo.webp,ok,alo,alo,,image/webp,3690
https://lotuspeak.org/wp-content/uploads/2025/07/bread-bg.webp,images\2025\07\bread-bg.webp,ok,,bread-bg,,image/webp,1362
https://lotuspeak.org/wp-content/uploads/2025/07/chamm.webp,images\2025\07\chamm.webp,ok,chamm,chamm,,image/webp,3681
https://lotuspeak.org/wp-content/uploads/2025/07/chhimilhakhang.webp,images\2025\07\chhimilhakhang.webp,ok,,chhimilhakhang,,image/webp,1921
https://lotuspeak.org/wp-content/uploads/2025/07/cloud.webp,images\2025\07\cloud.webp,ok,,cloud,,image/webp,514
https://lotuspeak.org/wp-content/uploads/2025/07/cta-bg.webp,images\2025\07\cta-bg.webp,ok,,cta-bg,,image/webp,1212
https://lotuspeak.org/wp-content/uploads/2025/07/dance.webp,images\2025\07\dance.webp,ok,dance,dance,,image/webp,3689
https://lotuspeak.org/wp-content/uploads/2025/07/dochhula.jpg,,failed,,,,,
https://lotuspeak.org/wp-content/uploads/2025/07/ft-bg.webp,images\2025\07\ft-bg.webp,ok,,ft-bg,,image/webp,43
https://lotuspeak.org/wp-content/uploads/2025/07/ft1-1.webp,images\2025\07\ft1-1.webp,ok,,ft1,,image/webp,538
https://lotuspeak.org/wp-content/uploads/2025/07/ft2.webp,images\2025\07\ft2.webp,ok,,ft2,,image/webp,539
https://lotuspeak.org/wp-content/uploads/2025/07/ft3.webp,images\2025\07\ft3.webp,ok,,ft3,,image/webp,540
https://lotuspeak.org/wp-content/uploads/2025/07/gangtye.webp,images\2025\07\gangtye.webp,ok,Gangtye dzong,gangtye,,image/webp,1920
https://lotuspeak.org/wp-content/uploads/2025/07/icon-2.svg,images\2025\07\icon-2.svg,ok,triangle,icon-2,,image/svg+xml,768
https://lotuspeak.org/wp-content/uploads/2025/07/icon-3.svg,images\2025\07\icon-3.svg,ok,dollar-icon,icon-3,,image/svg+xml,769
https://lotuspeak.org/wp-content/uploads/2025/07/icon-4.svg,images\2025\07\icon-4.svg,ok,call-icon,icon-4,,image/svg+xml,770
https://lotuspeak.org/wp-content/uploads/2025/07/kahdar-lama.webp,images\2025\07\kahdar-lama.webp,ok,kahdar-lama,kahdar-lama,,image/webp,3636
https://lotuspeak.org/wp-content/uploads/2025/07/khuru.webp,images\2025\07\khuru.webp,ok,,khuru,,image/webp,3691
https://lotuspeak.org/wp-content/uploads/2025/07/koenchosum-lhakhang.webp,images\2025\07\koenchosum-lhakhang.webp,ok,koenchosum-lhakhang,koenchosum-lhakhang,,image/webp,3668
https://lotuspeak.org/wp-content/uploads/2025/07/kurji-lhakhang.webp,images\2025\07\kurji-lhakhang.webp,ok,,kurji lhakhang,,image/webp,1743
https://lotuspeak.org/wp-content/uploads/2025/07/list-bg.jpg,images\2025\07\list-bg.jpg,ok,,list-bg,,image/jpeg,161
https://lotuspeak.org/wp-content/uploads/2025/07/mask-dance.webp,images\2025\07\mask-dance.webp,ok,mask-dance,mask-dance,,image/webp,3640
https://lotuspeak.org/wp-content/uploads/2025/07/mebar-tsho.jpeg,,failed,,,,,
https://lotuspeak.org/wp-content/uploads/2025/07/paro-air-port-view.webp,images\2025\07\paro-air-port-view.webp,ok,,paro-air-port-view,,image/webp,3635
https://lotuspeak.org/wp-content/uploads/2025/07/phobjikha-valey.webp,images\2025\07\phobjikha-valey.webp,ok,,phobjikha valey,,image/webp,1919
https://lotuspeak.org/wp-content/uploads/2025/07/pt-bg.webp,images\2025\07\pt-bg.webp,ok,,pt-bg,,image/webp,44
